ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,5.519999981,5.52,NTU,51.10122,-114.27975,05/10/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.630000114,5.63,NTU,51.10122,-114.27975,06/13/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.75999999,1.76,NTU,51.10122,-114.27975,07/11/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.779999971,2.78,NTU,51.10122,-114.27975,08/08/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.349999905,2.35,NTU,51.10122,-114.27975,09/12/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.679999948,1.68,NTU,51.10122,-114.27975,10/24/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.75,1.75,NTU,51.10122,-114.27975,11/14/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.210000038,1.21,NTU,51.10122,-114.27975,12/12/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.74000001,0.74,NTU,51.10122,-114.27975,01/09/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.610000014,0.61,NTU,51.10122,-114.27975,02/13/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.670000017,0.67,NTU,51.10122,-114.27975,03/13/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.079999924,2.08,NTU,51.10122,-114.27975,04/10/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,8.109999657,8.11,NTU,51.10122,-114.27975,05/08/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,46,46,NTU,51.10122,-114.27975,06/12/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.190000057,5.19,NTU,51.10122,-114.27975,07/10/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.419999957,1.42,NTU,51.10122,-114.27975,08/14/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.860000014,1.86,NTU,51.10122,-114.27975,09/11/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.700000048,1.7,NTU,51.10122,-114.27975,10/10/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.350000024,1.35,NTU,51.10122,-114.27975,11/13/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.819999993,0.82,NTU,51.10122,-114.27975,12/11/2017 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.730000019,0.73,NTU,51.10122,-114.27975,01/08/2018 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.730000019,0.73,NTU,51.10122,-114.27975,02/13/2018 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.930000007,0.93,NTU,51.10122,-114.27975,03/12/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.190000057,2.19,NTU,51.10122,-114.27975,04/09/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.820000172,5.82,NTU,51.10122,-114.27975,05/14/2018  ,Turbidity,SUR_BR-BD
